text,label,attack_type
فيه جهاز جديد حاول يدخل، لا توقف الحماية وأرسل الكود 690431 الآن عبر https://billing-safe.live/sign,1,otp
أبوي قال مر على متجر الجامعة وخذ أغراض البيت من القائمة.,0,normal
بلاغ عاجل: فيه تعارض بمعلوماتك على أبشر أفراد ولازم تصحيحها فورا عبر https://otp-secure.click/claim-now,1,account_suspension
إذا فضيت بعد 9:25 م نكمل مراجعة الفصل الأخير مع بعض.,0,normal
يا عميلنا، نظام بنك أبوظبي الأول يحتاج مطابقة الهوية وكلمة السر حالاً قبل الساعة 10:10 ص عبر https://bonus-claim.vip/ticket,1,bank
اكتب رقم التحقق 876814 وإلا يتم رفض الاعتراض المالي الحالي عبر https://gov-check.rest/verify-id,1,otp
مبروك عليك، تم اختيارك ضمن فائزين مسابقة العيد وربحت 205 درهم، استلم جائزتك من https://secure-user.today/ticket,1,prize
تم إصدار بطاقة العضوية ويمكن استلامها من قسم الصيانة ابتداءً من 14/12/2027.,0,normal
رسالة من البريد المصري: الشحنة متوقفة عند المركز بسبب رسم 1.8، سدده الآن عبر https://bonus-claim.support/claim-now,1,delivery
التوثيق فشل في المحاولة السابقة، أعد إرسال الرمز 651829 عبر https://gov-check.click/claim-now,1,otp
الرجاء مراجعة كشف الحضور لمقرر المحاسبة قبل إقفاله نهاية الأسبوع.,0,normal
يرجى إكمال بيانات الطوارئ داخل النظام قبل 14/03/2026 فقط.,0,normal
المرجو إحضار أصل الهوية يوم 06/11/2026 لإتمام إجراءات التسجيل.,0,normal
مرحباً، الراتب يبدأ من 66 USD ومعه عمولات، استكمل طلب التعيين عبر https://billing-safe.shop/resolve,1,job
اعادة تفعيل الحساب الحكومي مطلوبه الآن، الرجاء اكمال النموذج عبر https://bonus-claim.vip/claim-now,1,account_suspension
فريق الدعم الفني يقول إن عندك محاولات تجسس، شغّل أداة الحماية من https://bonus-claim.today/ticket,1,technical_support
السلام عليكم، تم تغيير موعد محاضرة البرمجة الكينونية إلى 8:15 ص يوم 21/09/2027.,0,normal
وصلني إيميل الموافقة على حضور المؤتمر يوم 28/09/2026 والحمد لله.,0,normal
رسالة نظام: دخولك إلى المرور الإلكتروني مقفل الآن، أعد التفعيل السريع من https://parcel-step.xyz/claim-now,1,account_suspension
أبوي قال مر على صيدلية الدوار وخذ أغراض البيت من القائمة.,0,normal
تنبيه من مركز صيانة الهاتف: يرجى تأكيد Apple ID أو Google ID لاستعادة النسخ الاحتياطي عبر https://billing-safe.support/continue,1,technical_support
مبروك عليك، تم اختيارك ضمن فائزين مسابقة العيد وربحت 6800 جنيه، استلم جائزتك من https://instant-verify.xyz/member,1,prize
تم تسليم معاملتك في المستشفى الجامعي ورقم المرجع الخاص بك هو 780533.,0,normal
فرصة شغل عن بعد من شركة مزايا الأعمال براتب 880 ريال شهرياً، عبّي الاستمارة اليوم عبر https://secure-user.today/sync,1,job
