text,label,channel,source
في تجميعات حق لاب كويز نتوورك؟,legit,sms,Arabic_Spam.csv
الترم الاول كل طلبات التوسعة انقبلت,legit,sms,Arabic_Spam.csv
من هنا جزء الاسايمنت,legit,sms,Arabic_Spam.csv
والكلاسيك ماعندنا بالسعوديه طلبت ديلوكس,legit,sms,Arabic_Spam.csv
انتباه تحقق من رصيد اموالك علي <url> دعم نظام المال,phishing,email,phishing-bilingual.csv
وعندي ملاعق بلتستيك,legit,sms,Arabic_Spam.csv
يا هلا باهل الشرقية مويا اب وصل بشكله الجديد، والتوصيل مجانا لفترة محدودة لا تنسي تحدث التطبيق، وتكتشف عروضنا وميزانتا الجديدة يلا عالتطبيق الجديد؟ <url>,phishing,sms,Arabic_Spam.csv
اي دور الثاني ولا الثالث,legit,sms,Arabic_Spam.csv
ماله متطلب الا السنه الجايه os لكل تخصصات,legit,sms,Arabic_Spam.csv
هل تتذكر العنكبوت الذي طار في اليوم الاخر في مكتبك؟ يبدو ان التقنية التي يستخدمها للطيران ليست تافهة باي حال من الاحوال <<link>>,legit,email,legit-bilingual.csv
الله يسهل الخير ويجزي خير علي مشاركة الموقع,legit,sms,Arabic_Spam.csv
صباح الخير تحية طيبة عزيزتي لقد ارسلت لك بريدا الكترونيا قبل ايام قليلة هل تلقيت رسالتي؟ رد عاجل من فضلك من فضلك تتكلم الانجليزية؟,phishing,email,phishing-bilingual.csv
علي ما البس الحين وامره واجيك,legit,sms,Arabic_Spam.csv
مب الواحد 28 ؟,legit,sms,Arabic_Spam.csv
هذا بالنخيل مول الطقم ب ١٤٠٠ ريال,legit,sms,Arabic_Spam.csv
عزیزي العمیل الصراف الالي الخاص بك محظور فا تصل ھذا الرقم <phone>,phishing,sms,Arabic_Spam.csv
يعني اكتب الامر عادي كانه بدون برايمري كي و بعدين حط البرايمري كي اخر شبء,legit,sms,Arabic_Spam.csv
مقدمك خير يا شهر الخير اقبل رمضان ومعاه اجمل مجموعات ابيات aby at rsc1,phishing,sms,Arabic_Spam.csv
ملاحظة لديك وقت محدود للتحقق من صحة بريدك الالكتروني انقر هنا للتحقق الان,phishing,email,phishing-bilingual.csv
