text,label,attack_type
خالك طلب أن تمر على البيت ومعك نسخة العرض قبل 8:10 مساءً.,0,normal
مرحبًا، نؤكد اجتماع المتابعة غدًا في مكتبة الجامعة عند 4:35 مساءً.,0,normal
يا طويل العمر، بنجتمع بكرة في قاعة الاجتماعات بعد العشاء، يعطيك العافية.,0,normal
الموضوع: اجتماع الفريق في Teams يوم 28/09/2026 الساعة 8:05 صباحًا لمراجعة التقرير النهائي.,0,normal
إشعار قانوني من CloudMail: فشل التحقق من الهوية للمرة الثانية، لو سمحت أعد تنشيط الحساب من https://login.cloudmail.example/restore-account?ref=703 قبل نهاية اليوم.,1,account_suspension
رسالة شحن من بريد النخبة: فشل التسليم في المحاولة الثانية، ادخل https://id.elite-post.test/track-hold/47 وسدّد 4257 دينار قبل 11:35 ص.,1,delivery
جامعة أفق: نذكرك بموعد مراجعة شؤون الطلبة يوم 13/12/2026 الساعة 8:10 صباحًا.,0,normal
معك موظف تحقق من سريع الخليج، أرسل رمز 316761 الآن ليكتمل تحديث الراتب وإلا يتوقف الطلب.,1,otp
إشعار أمان من بنك النور الرقمي: فشل التحقق من الهوية المصرفية، ادخل https://login.noor-bank.example/identity-check/65 وأعد تأكيد ملكية البطاقة الحين لمنع تعليق البطاقة.,1,bank
تره الاجتماع اتأجل لبكرا 12:35 م، الرابط نفسه على Google Meet.,0,normal
جامعة المشرق: تم تأكيد حضورك لورشة العمل يوم 23/03/2026.,0,normal
مساء الخير، سنتجمع في باب الكلية بكرا بعد المغرب، بالتوفيق.,0,normal
مستشفى الندى: موعدك المؤكد يوم 26/08/2026 الساعة 7:05 ص، يرجى الحضور قبل الموعد بعشر دقائق.,0,normal
إدارة الجوائز: اسمك ضمن الفائزين بـجائزة نقدية بقيمة 402.33 دولار، افتح http://support.gift-center.test/confirm-winner فورًا قبل تحويل الجائزة لبديل.,1,prize
بنك الروابي: تم تنفيذ حوالتك بقيمة 2411 دولار بنجاح يوم 16/12/2026.,0,normal
وصل إكسبرس: مندوبنا سيصل بين 3 و8 مساءً لتسليم الطلب.,0,normal
إشعار قانوني من منصة الدعم الوطني: لم تكتمل مطابقة السجل الوطني، لو سمحت فعّل الوصول مرة أخرى من http://join.national-aid.example/restore-account/home قبل نهاية اليوم.,1,account_suspension
تركت حليب الأطفال عند المستودع، خده وإنت طالع.,0,normal
محفظة سدادنا: تم وضع حسابك تحت المراجعة، من فضلك ثبّت بياناتك عبر https://support.sadadna-wallet.example/restore-access قبل 8:50 م.,1,bank
يوسف، مر علي قبل 6:55 مساءً ومعك نسخة PDF لو تقدر.,0,normal
بنك الروابي: أضفت مستفيدًا جديدًا من تطبيقك بنجاح عند 1:50 م.,0,normal
مجموعة التصوير: الترتيب النهائي وصل، راجعوا المهام قبل اللقاء.,0,normal
تنبيه من بنك السراج الوطني: تم إيقاف التحويلات لحين مراجعة البيانات، لو سمحت حدّث الملف المالي هسّه عبر https://portal.alsiraj-bank.example/restore-access حتى لا يتجمّد الحساب.,1,bank
مسار لوجستيك: مندوبنا سيصل بين 4 و8 مساءً لتسليم الطلب.,0,normal
مسار لوجستيك: أدخل الكود 606616 في https://jobs.masar-logistics.example/verify-otp خلال 10 دقائق لإتمام استرجاع الشحنة.,1,otp
إعلان جامعة أفق، محاضرة المحاسبة نُقلت إلى باب الكلية الساعة 9:15 م.,0,normal
معك الأستاذة لينا شحادة من بورصة الخليج الذكية بقيت مقاعد محدودة ادخل https://secure.gulf-smart-bourse.example/reserve-seat/40 فورا لتفعيل محفظتك.,1,investment
خالك قال تعدي البيت وتجيب الدواء معاك بعد الشغل.,0,normal
تنبيه من أفق للشحن: المندوب لم يستطع تأكيد موقعك، من فضلك ادفع رسوم التخليص حالًا من https://id.ufuq-ship.test/delivery-update وإلا ستعود الشحنة اليوم.,1,delivery
محفظة سدادنا: تم تنفيذ حوالتك بقيمة 27 ريال بنجاح يوم 18/08/2026.,0,normal
VidShare: تم إيقاف حسابك مؤقتًا لأن لم تكتمل مطابقة السجل الوطني، أكمل الإجراء عبر https://app.vidshare.example/reactivate لتجنب التعليق الدائم.,1,account_suspension
عميل بنك النور الرقمي العزيز، تم تعليق بطاقة الصراف مؤقتًا، ثبّت بياناتك قبل نهاية اليوم من https://support.noor-bank.example/update-kyc/home قبل حجب التحويلات.,1,bank
الحفل يبدأ في الملعب عند 9:10 م والأبواب تفتح قبلها بساعة.,0,normal
مساء الخير، المناقشة اتأكد يوم 22/04/2026، متتأخرش واحنا مستنيينك.,0,normal
السلام عليكم ندى، أحضرت ملف المراجعة معك أم أشتريه أنا قبل المساء؟,0,normal
تم اعتماد مكافأة وفاء من حملة رمضانية لك، لا تخبر أحدًا وأدخل https://verify.winner-zone.example/draw-result/83 فورًا لتأكيد الاستحقاق قبل انتهاء المهلة.,1,prize
تم تأكيد بطاقة الصعود لرحلة يوم 20/11/2026، الوصول إلى الملعب قبل 7:10 ص.,0,normal
إشعار مالي من خدمه الكهرباء المنزلية: رسوم تجديد إلزامية، افتح https://verify.home-electric.example/invoice-review/70 هسّه وأكد عملية الدفع.,1,payment
شبكة المدينة اللوجستية: تم ترشيحك إلى شاغر خدمه عملاء، أكمل ملفك عبر https://id.city-logistics.example/training-fee وسدّد رسوم ملف 86 دولار خلال ساعتين.,1,job
إشعار قانوني من بوابة التصاريح المدنية: هناك نشاط غير معتاد على ملفك، من فضلك أرسل الوثائق المطلوبة من https://verify.civil-permits.example/verify-id?ref=858 خلال 45 دقيقة.,1,account_suspension
الموضوع: اجتماع الفريق في Zoom يوم 18/11/2026 الساعة 1:30 م لمراجعة جدول المهام.,0,normal
EduPortal: تعذر تأكيد بريد الاسترجاع، قدّم الاعتراض عبر http://id.eduportal.example/unlock-profile/profile فورًا خلال ساعتين حتى لا تفقد الوصول للملف.,1,account_suspension
يعطيك العافية، رح نجتمع عند مقهى الحي بكرا بعد العصر، خبرني لما توصل.,0,normal
معك الإعلامية نورا السالم من قسم التحصيل، تم اعتماد استرداد مالي لكنه بانتظار التفعيل، ادخل إلى https://pay.madar-medical.example/confirm-bill?ref=94 قبل تعليق الخدمة.,1,payment
دعم CloudMail: رُصدت محاولة نسخ احتياطي غير مصرح بها، اسمح بالوصول المؤقت من https://id.cloudmail-help.example/support-ticket/profile حالًا لمنع حذف النسخة الاحتياطية.,1,technical_support
نور كارجو: المندوب لم يستطع تأكيد موقعك، ثبّت عنوانك عبر https://update.noor-cargo.example/release-parcel?ref=713 فورًا خلال ساعتين لمنع إعادة الطرد للمرسل.,1,delivery
الموارد البشرية في شركة المدار الطبي: المقابلة اليوم، ثبّت الحجز من https://verify.madar-medical.example/training-fee/20 بعد رسوم ملف 64 ريال.,1,job
إزيك، لو فاضي بكرة تعال قاعة التدريب بعد المغرب ونراجع المخطط.,0,normal
Social Circle: رُصدت محاولة نسخ احتياطي غير مصرح بها، أعد ربط الجهاز من https://app.social-circle.example/install-security/50 الآن حتى لا تفقد الملفات.,1,technical_support
معك الأستاذة روان الخطيب من ذهبنا للاستثمار، بقيت مقاعد محدودة، ادخل https://secure.zahabna.example/vip-group?ref=66 الآن لتفعيل محفظتك.,1,investment
مرحبًا، سنتجمع في المركز التجاري غدًا بعد المغرب، أخبرني عند وصولك.,0,normal
بوابة التوصيل الذكي: تم شحن طلبك وسيظهر التتبع على https://track.smart-delivery.example/track خلال ساعة.,0,normal
تم تعليق ملفك في مركز المنح الدراسية، أكمل التحقق من الهوية هسّه من https://billing.study-grants.example/reactivate?ref=453 خلال ساعتين.,1,account_suspension
نادي القراءة: التجمّع بكرا بالموقف الساعة 10:00 م، خبرونا مين جاي.,0,normal
نادي القراءة: عايزين متطوعين يوصلوا المركز التجاري بدري شوية.,0,normal
المرشد الأكاديمي في جامعة المشرق: راجع خطتك لهذا الفصل من https://billing.mashriq-university.test/details,0,normal
مركز المساعدة الذكية: اكتشفنا ملفًا خبيثًا على جهازك، أعد ربط الجهاز من https://join.smart-helpdesk.example/remote-help حالًا لمنع قفل الجهاز.,1,technical_support
بنك السراج الوطني: كشف الحساب الشهري أصبح جاهزًا.,0,normal
لإصدار عرض العمل من شبكة المدينة اللوجستية يلزم رسوم ملف 199.84 ريال الآن عبر https://pay.city-logistics.example/remote-onboard/main ثم إرسال صورة الهوية.,1,job
أرسلت لكم خطة فريق الكرة في المجموعة، شوفوها الليلة.,0,normal
محفظة سدادنا: أضفت مستفيدًا جديدًا من تطبيقك بنجاح عند 12:30 م.,0,normal
طيران الأفق: رسوم تجديد إلزامية، أكد عملية الدفع عبر https://id.ufuq-air.example/settle-fee/42 قبل 9:50 م لتجنب الغرامة.,1,payment
أنا ماشي مكتبة المدينة، لو داير الهدية أرسل لي بسرعة.,0,normal
يا جماعة، الورشة اتأكد يوم 11/04/2026، متتأخرش واحنا مستنيينك.,0,normal
رسالة طوارئ من ShopSquare: رُصدت محاولة نسخ احتياطي غير مصرح بها، أكمل الإجراء عبر http://support.shopsquare.example/scan-device/51 قبل انتهاء مهلة الحماية.,1,technical_support
التجمّع تبع فريق التطوع ثابت بالحديقة، منتظركم بكرا.,0,normal
معك الأستاذ سامر القيسي من فريق السحوبات، عندك جائزة نقدية بقيمة 84 ر.س، أكمل النموذج في https://update.winner-zone.example/confirm-winner/78 وسدّد رسم شحن 46 دينار.,1,prize
تم تأكيد بطاقة الصعود لرحلة يوم 10/08/2026، الوصول إلى محطة الحافلات قبل 4:50 م.,0,normal
معك الأستاذة روان الخطيب من قسم التحصيل، رسوم تجديد إلزامية، ادخل إلى https://track.ufuq-air.test/confirm-bill قبل تعليق الخدمة.,1,payment
خدمة النفاذ المدني: تم إيقاف حسابك مؤقتًا لأن وردت شكوى انتهاك على حسابك، أكمل الإجراء عبر https://login.civil-access.example/appeal?ref=79 لمنع حذف الصفحة خلال 24 ساعة.,1,account_suspension
تنبيه من بوابة التصاريح المدنية، تم الإبلاغ عن صفحة المتجر، افتح https://track.civil-permits.example/restore-account?ref=217 وأكمل التحقق من الهوية فورًا قبل تجميد جميع الخدمات.,1,account_suspension
هالة موبايل: صيانة الشبكة تنتهي اليوم عند 11:40 ص وسيعود الاتصال تدريجيًا.,0,normal
المستشفى الميداني الحديث: تم اعتماد استرداد مالي لكنه بانتظار التفعيل، أكد عملية الدفع عبر http://jobs.modern-field-hospital.example/confirm-bill?ref=692 خلال 12 ساعة لتجنب الغرامة.,1,payment
بنك الواحة: سددت القسط الأخير بقيمة 135.77 جنيه ونشكر التزامك.,0,normal
موعد الانطلاق إلى المسرح يوم 18/10/2026 الساعة 9:25 صباحًا، لا تتأخر.,0,normal
سيبت الزي الرياضي عند مدخل البناية، خده وانت داخل.,0,normal
جامعة المشرق: فتحنا نموذج حضور تحليل البيانات على https://billing.mashriq-university.example/details حتى 12/09/2026.,0,normal
مبروك، تم اختيارك لاستلام سحبًا خاصًا للمتابعين، أكّد الهوية عبر https://join.winner-zone.example/winner-form/91 وادفع رسم شحن 470.88 د.أ خلال 45 دقيقة.,1,prize
جامعة السهل: الاختبار القصير في الذكاء الاصطناعي سيكون يوم 09/12/2026 داخل مكتبة الجامعة.,0,normal
سأمر على مركز الخدمة وأشتري الخبز قبل العودة إلى المنزل.,0,normal
أنا نازل مركز الخدمة، لو محتاج حليب الأطفال قولي قبل ما أتحرك.,0,normal
نور تيليكوم: وصلت فاتورة هذا الشهر بقيمة 19 ر.س.,0,normal
بنك الروابي: أضفت مستفيدًا جديدًا من تطبيقك بنجاح عند 10:40 ص.,0,normal
لإصدار عرض العمل من طيران الأفق يلزم رسوم ملف 31 جنيه الآن عبر https://billing.ufuq-air.invalid/offer-letter/retail ثم إرسال صورة الهوية.,1,job
شركة المدار الطبي: تم تأكيد حضورك لورشة العمل يوم 14/04/2026.,0,normal
جامعة السهل: الاختبار القصير في أمن المعلومات سيكون يوم 16/08/2026 داخل قاعة الاجتماعات.,0,normal
إشعار أمان من بنك النور الرقمي: تم تسجيل دخول من جهاز غير معروف، ادخل http://portal.noor-bank.test/secure-banking/55 وثبّت بياناتك هسي قبل حجب التحويلات.,1,bank
إشعار أمان من محفظة سدادنا: تم تسجيل دخول من جهاز غير معروف، ادخل http://billing.sadadna-wallet.example/confirm-profile/72 وثبّت بياناتك حالًا حتى لا يتم رفض الحوالات.,1,bank
خدمة دعم الأجهزة: النظام سجل اتصالات مشبوهة، نفّذ التحديث الأمني من https://portal.device-care.example/scan-device/18 هسي لمنع قفل الجهاز.,1,technical_support
هناك تأكيد دفع ناقص لدى منصة الدعم الوطني، ادخل https://id.national-aid.example/invoice-review/home وأكمل السداد حالًا.,1,payment
مسار لوجستيك: مندوبنا سيصل بين 3 و8 مساءً لتسليم الطلب.,0,normal
قسم الأمان في بنك المشرق للأعمال: الرمز 444456 صالح دقائق معدودة، أرسله الآن ليتم اعتماد المعاملة.,1,otp
🎉 تهانينا، فزت بـقسيمة سفر مدفوعة بالكامل، الاستلام خلال اليوم فقط من https://help.promo-club.example/gift-payout?ref=676 بعد رسم تحويل 13 د.أ.,1,prize
نؤكد حجزك في مستشفى الندى يوم 21/07/2026، التفاصيل في https://update.nada-hospital.example/details,0,normal
يا جماعة فريق التطوع، النشاط اتأجل ليوم 25/12/2026 بسبب المطر.,0,normal
مرحبًا، نؤكد اجتماع المتابعة غدًا في مكتبة الجامعة عند 3:10 م.,0,normal
تم إصدار مطالبة جديدة من منصة الاشتراكات الرقمية، أكمل السداد من https://pay.subs-digital.example/settle-fee/retail خلال اليوم وإلا تُضاف رسوم أخرى.,1,payment
إشعار قانوني من ProConnect: فشل التحقق من الهوية للمرة الثانية، أكمل التحقق من الهوية من https://support.proconnect.example/restore-account?ref=679 خلال 12 ساعة.,1,account_suspension
