text,label,attack_type
"رسالة من مكتب سمو الأمير الوليد بن طلال: تم اختيارك لاستلام مساعدة مالية بقيمة 50 الف ريال. تواصل مع مدير المكتب عبر الرابط",1,prize
"أنا إيلون ماسك، منصة X توزع أرباح استثنائية لمستخدميها. اضغط على الرابط وسجل محفظتك الرقمية لاستلام 1000 دولار الان",1,investment
"مرحبا انا مديرة الموارد البشرية في شركه جوجل. نعرض عليك وظيفه عن بعد براتب 4000 دولار. ادفع رسوم التسجيل للبدء",1,job
"تحذير عاجل من رئيس تنفيذي لشركة ابل: نظامنا يتطلب توثيق حساب iCloud الخاص بك فورا والا سيتم حذفه نهائيا",1,account_suspension
"الادارة العليا في بنك الراجحي: يوجد مشكله بتحديث النظام. ارسل رمز التفعيل الي وصلك لتجنب تجميد حساباتك",1,otp
"رسالة سرية من إدارة أرامكو: افتح باب الاستثمار معنا بأسهم مخفضة جدا لفترة محدودة. حول مبلغ 500$ للبدء فورا",1,investment
"تهانينا من مدير شركة زين! ربحت معنا سيارة لكزس. ادفع رسوم التوصيل والجمارك 50 دينار لاستلامها عبر الرابط",1,prize
"تنبيه من ادارة مايكروسوفت: حاسوبك مخترق. يرجى تحميل برنامج الحماية الخاص بالشركة عبر هذا الرابط لتأمين بياناتك",1,technical_support
"أنا مدير توصيل أرامكس، عندك شحنة مهمة بس العنوان ناقص، ادفع رسوم اعادة التوجيه 2 دولار على الرابط لاستلامها",1,delivery
"المدير العام لبنك الاهلي يحذرك: تم إيقاف بطاقتك الائتمانية لوجود شبهة. راجع الرابط فورا لتقديم إثبات الهوية",1,bank
"معاك تيم كوك من شركة آبل، اخترناك لتجربة ايفون 16 الجديد مجانا قبل إصداره. ادفع رسوم الشحن فقط من هنا",1,prize
"إعلان من شركة طيران الإمارات: احصل على تذكرتين سفر مجانية لأي وجهة في العالم بمناسبة العيد السنوي. سجل بياناتك",1,prize
"رئيس شركة سامسونج يهديك فرصة استثمارية لا تعوض في شركتنا، ارباح مضمونة 100%، اشترك الان من خلال منصتنا الوهمية",1,investment
"ادارة واتساب تحذرك: سيتم فرض رسوم شهرية على استخدام التطبيق غدا. اضغط هنا لتأكيد حسابك المجاني مدى الحياة",1,payment
"أنا ممثل الدعم الفني لشركة انستقرام، حسابك موثق بالعلامة الزرقاء، لتفعيلها يرجى ادخال كلمة المرور في الرابط المرفق",1,technical_support
"رسالة من الشيخ محمد بن راشد، تم اختيار عائلتك للحصول على منحة سكنية مجانية. قم بتعبئة الاستمارة عبر الرابط التالي",1,prize
"تنبيه من البنك المركزي: تم حظر جميع حساباتك البنكية بسبب ضرائب غير مدفوعة. سدد الان لتفادي المساءلة القانونية",1,bank
"عاجل من شركة نون: فشل تجديد اشتراك نون VIP الخاص بك، قم بتحديث بيانات بطاقتك الائتمانية لتجنب الغاء الطلبات",1,payment
